ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,LIGHT_CONDITION,SEVERITY,SPEED_ZONE,LONGITUDE,LATITUDE,RMA
T20140006424,28/03/2014,16.10.00,Collision with a fixed object                ,Thursday,Right Off Carriageway Into Object/Parked Vehicle      ,Day                             ,Serious injury accident                   ,60 km/hr                          ,143.89223,-37.57369,Local Road
T20140006425,28/03/2014,17.21.00,Collision with vehicle                   ,Friday,Cross Traffic(Intersections Only)              ,Dusk/Dawn                          ,Other injury accident                    ,60 km/hr                          ,143.84554,-37.57125,Arterial Other
T20140006426,28/03/2014,19.10.00,Collision with vehicle                   ,Friday,Right Near (Intersections Only)               ,Dusk/Dawn                          ,Other injury accident                    ,50 km/hr                          ,144.28579,-36.74903,Local Road
T20140006427,28/03/2014,14.00.00,Collision with vehicle                   ,Friday,Left Near (Intersections Only)               ,Day                             ,Other injury accident                    ,50 km/hr                          ,145.07284,-37.9675,Arterial Other
T20140006428,28/03/2014,18.27.00,Collision with vehicle                   ,Friday,Rear End(Vehicles In Same Lane)               ,Dusk/Dawn                          ,Serious injury accident                   ,70 km/hr                          ,145.11749,-38.0189,Arterial Other
T20140006430,28/03/2014,17.05.00,Collision with vehicle                   ,Friday,Cross Traffic(Intersections Only)              ,Dusk/Dawn                          ,Other injury accident                    ,60 km/hr                          ,144.72285,-37.56939,Local Road
T20140006431,28/03/2014,16.22.00,Collision with vehicle                   ,Friday,Rear End(Vehicles In Same Lane)               ,Day                             ,Serious injury accident                   ,80 km/hr                          ,145.25365,-38.04476,Arterial Highway
T20140006432,27/03/2014,21.40.00,Collision with a fixed object                ,Thursday,Right Off Carriageway Into Object/Parked Vehicle      ,Dusk/Dawn                          ,Serious injury accident                   ,50 km/hr                          ,147.98498,-37.87871,Local Road
T20140006435,28/03/2014,19.10.00,Collision with vehicle                   ,Friday,Right Rear.                         ,Dusk/Dawn                          ,Other injury accident                    ,50 km/hr                          ,145.14975,-37.84334,Local Road
T20140006437,19/03/2014,17.00.00,Collision with vehicle                   ,Wednesday,Vehicle Strikes Door Of Parked/Stationary Vehicle      ,Dusk/Dawn                          ,Other injury accident                    ,60 km/hr                          ,144.97231,-37.76814,Local Road
T20140006440,28/03/2014,20.35.00,Collision with vehicle                   ,Friday,Vehicle Strikes Door Of Parked/Stationary Vehicle      ,Dusk/Dawn                          ,Other injury accident                    ,60 km/hr                          ,144.97507,-37.83493,Arterial Other
T20140006442,28/03/2014,16.45.00,Collision with vehicle                   ,Friday,Head On (Not Overtaking)                  ,Day                             ,Serious injury accident                   ,60 km/hr                          ,144.90761,-37.80614,Arterial Highway
T20140006443,28/03/2014,16.30.00,Struck Pedestrian                      ,Friday,Ped Near Side. Ped Hit By Vehicle From The Right.      ,Day                             ,Other injury accident                    ,40 km/hr                          ,144.95573,-37.81638,Arterial Other
T20140006447,23/03/2014,16.30.00,Collision with vehicle                   ,Sunday,Right Near (Intersections Only)               ,Day                             ,Other injury accident                    ,Not known                          ,144.92832,-37.61869,Local Road
T20140006448,28/03/2014,17.55.00,Struck Pedestrian                      ,Friday,Ped Near Side. Ped Hit By Vehicle From The Right.      ,Dusk/Dawn                          ,Serious injury accident                   ,60 km/hr                          ,144.94994,-37.84843,Arterial Other
T20140006450,28/03/2014,19.00.00,Struck Pedestrian                      ,Friday,Ped Near Side. Ped Hit By Vehicle From The Right.      ,Dusk/Dawn                          ,Fatal accident                       ,50 km/hr                          ,145.00104,-37.67894,Local Road
T20140006452,28/03/2014,22.45.00,Collision with a fixed object                ,Friday,Left Off Carriageway Into Object/Parked Vehicle       ,Dark No street lights,Serious injury accident                   ,80 km/hr                          ,145.31388,-37.91215,Local Road
T20140006453,28/03/2014,22.00.00,Collision with a fixed object                ,Friday,Left Off Carriageway Into Object/Parked Vehicle       ,Dark No street lights,Other injury accident                    ,50 km/hr                          ,146.54928,-38.19854,Local Road
T20140006454,22/03/2014,13.45.00,Collision with vehicle                   ,Saturday,Cross Traffic(Intersections Only)              ,Day                             ,Other injury accident                    ,50 km/hr                          ,144.93521,-37.73442,Local Road
T20140006455,28/03/2014,20.30.00,Collision with vehicle                   ,Friday,Right Through                        ,Dusk/Dawn                          ,Other injury accident                    ,60 km/hr                          ,145.15075,-37.85977,Arterial Other
T20140006456,8/02/2014,15.30.00,Fall from or in moving vehicle               ,Saturday,Fell In/From Vehicle                    ,Day                             ,Serious injury accident                   ,80 km/hr                          ,145.21019,-37.99146,Arterial Highway
T20140006459,28/03/2014,05.30.00,Collision with a fixed object                ,Thursday,Left Off Carriageway Into Object/Parked Vehicle       ,Dusk/Dawn                          ,Other injury accident                    ,100 km/hr                          ,146.86783,-36.33499,Arterial Other
T20140006461,28/03/2014,06.10.00,Collision with a fixed object                ,Friday,Left Off Carriageway Into Object/Parked Vehicle       ,Dusk/Dawn                          ,Other injury accident                    ,60 km/hr                          ,144.97192,-37.77025,Local Road
T20140006463,29/03/2014,01.20.00,Struck Pedestrian                      ,Saturday,Ped Near Side. Ped Hit By Vehicle From The Right.      ,Dark Street lights on,Serious injury accident                   ,80 km/hr                          ,145.06999,-37.98174,Arterial Highway
T20140006467,29/03/2014,08.15.00,Collision with vehicle                   ,Saturday,Vehicle Collides With Vehicle Parked On Left Of Road    ,Day                             ,Serious injury accident                   ,60 km/hr                          ,145.10975,-38.04067,Arterial Highway
T20140006469,29/03/2014,09.05.00,Struck Pedestrian                      ,Saturday,Ped Near Side. Ped Hit By Vehicle From The Right.      ,Day                             ,Serious injury accident                   ,50 km/hr                          ,144.96253,-37.74093,Arterial Highway
T20140006471,29/03/2014,09.18.00,Collision with vehicle                   ,Saturday,Right Through                        ,Day                             ,Other injury accident                    ,60 km/hr                          ,145.16923,-37.86202,Arterial Highway
T20140006472,28/03/2014,16.30.00,Collision with vehicle                   ,Friday,Rear End(Vehicles In Same Lane)               ,Day                             ,Other injury accident                    ,60 km/hr                          ,145.18157,-37.70592,Arterial Other
T20140006473,29/03/2014,09.15.00,Collision with vehicle                   ,Saturday,Rear End(Vehicles In Same Lane)               ,Day                             ,Serious injury accident                   ,80 km/hr                          ,144.94039,-37.82547,Freeway
T20140006475,27/03/2014,10.05.00,Collision with vehicle                   ,Thursday,Cross Traffic(Intersections Only)              ,Day                             ,Other injury accident                    ,50 km/hr                          ,145.12606,-37.90938,Local Road
T20140006481,29/03/2014,13.50.00,Collision with vehicle                   ,Saturday,Right Through                        ,Day                             ,Other injury accident                    ,60 km/hr                          ,144.94404,-37.7633,Arterial Other
T20140006488,23/02/2014,14.35.00,No collision and no object struck              ,Sunday,Out Of Control On Carriageway (On Straight)         ,Day                             ,Other injury accident                    ,100 km/hr                          ,144.8739,-37.71707,Freeway
T20140006490,29/03/2014,16.05.00,Collision with vehicle                   ,Saturday,Left Rear                          ,Day                             ,Other injury accident                    ,50 km/hr                          ,144.98768,-37.86488,Local Road
T20140006491,29/03/2014,14.00.00,Vehicle overturned (no collision)              ,Saturday,Out Of Control On Carriageway (On Bend)           ,Day                             ,Serious injury accident                   ,100 km/hr                          ,146.06394,-37.32499,Local Road
T20140006496,29/03/2014,17.45.00,Struck Pedestrian                      ,Saturday,Ped Near Side. Ped Hit By Vehicle From The Right.      ,Dusk/Dawn                          ,Other injury accident                    ,50 km/hr                          ,145.85805,-38.13533,Local Road
T20140006497,29/03/2014,17.10.00,Collision with vehicle                   ,Saturday,Right Through                        ,Dusk/Dawn                          ,Other injury accident                    ,50 km/hr                          ,145.06535,-37.98291,Local Road
T20140006498,29/03/2014,15.15.00,Collision with vehicle                   ,Saturday,Right Through                        ,Day                             ,Other injury accident                    ,60 km/hr                          ,145.12477,-37.81368,Arterial Other
T20140006499,29/03/2014,17.35.00,Collision with vehicle                   ,Saturday,Cross Traffic(Intersections Only)              ,Dusk/Dawn                          ,Other injury accident                    ,50 km/hr                          ,145.13745,-37.58675,Local Road
T20140006501,29/03/2014,17.00.00,Struck Pedestrian                      ,Saturday,Any Manoeuvre Involving Ped Not Included In Dcas 100-108.  ,Dusk/Dawn                          ,Other injury accident                    ,60 km/hr                          ,145.01918,-37.90136,Arterial Highway
T20140006506,29/03/2014,17.00.00,Collision with a fixed object                ,Saturday,Left Off Carriageway Into Object/Parked Vehicle       ,Dusk/Dawn                          ,Serious injury accident                   ,100 km/hr                          ,142.63139,-36.85694,Arterial Highway
T20140006508,29/03/2014,14.30.00,Collision with a fixed object                ,Saturday,Left Off Carriageway Into Object/Parked Vehicle       ,Day                             ,Other injury accident                    ,100 km/hr                          ,145.22651,-37.96203,Freeway
T20140006509,29/03/2014,18.31.00,Struck Pedestrian                      ,Saturday,Ped Near Side. Ped Hit By Vehicle From The Right.      ,Dusk/Dawn                          ,Other injury accident                    ,40 km/hr                          ,144.92948,-37.78816,Arterial Highway
T20140006511,29/03/2014,18.40.00,Struck Pedestrian                      ,Saturday,Ped Emerges From In Front Of Parked Or Stationary Vehicle  ,Dusk/Dawn                          ,Serious injury accident                   ,40 km/hr                          ,145.20131,-37.97543,Local Road
T20140006513,29/03/2014,17.35.00,Collision with a fixed object                ,Saturday,Off Right Bend Into Object/Parked Vehicle          ,Dusk/Dawn                          ,Fatal accident                       ,100 km/hr                          ,147.48427,-37.75822,Local Road
T20140006514,29/03/2014,19.59.00,Vehicle overturned (no collision)              ,Saturday,Out Of Control On Carriageway (On Straight)         ,Dark No street lights,Serious injury accident                   ,50 km/hr                          ,144.96957,-37.74048,Local Road
T20140006516,29/03/2014,21.10.00,Collision with vehicle                   ,Friday,Right Through                        ,Dark Street lights on,Serious injury accident                   ,60 km/hr                          ,146.89389,-36.11027,Freeway
T20140006517,29/03/2014,22.44.00,Collision with vehicle                   ,Saturday,Right Through                        ,Unk.                            ,Other injury accident                    ,80 km/hr                          ,144.77483,-37.77032,Arterial Other
T20140006519,29/03/2014,20.15.00,Collision with vehicle                   ,Saturday,Cross Traffic(Intersections Only)              ,Dark Street lights unknown,Serious injury accident                   ,60 km/hr                          ,144.71022,-37.55975,Arterial Other
T20140006521,29/03/2014,17.02.00,Collision with vehicle                   ,Friday,Other Opposing Manoeuvres Not Included In Dcas 120-125.   ,Dusk/Dawn                          ,Other injury accident                    ,50 km/hr                          ,144.8262,-37.73883,Local Road
T20140006522,30/03/2014,00.35.00,Collision with a fixed object                ,Sunday,Right Off Carriageway Into Object/Parked Vehicle      ,Dark Street lights on,Serious injury accident                   ,60 km/hr                          ,145.01781,-37.92224,Local Road
T20140006524,29/03/2014,01.50.00,Collision with a fixed object                ,Saturday,Off Right Bend Into Object/Parked Vehicle          ,Dark No street lights,Serious injury accident                   ,60 km/hr                          ,144.13706,-36.05366,Local Road
T20140006525,30/03/2014,00.05.00,Collision with vehicle                   ,Sunday,Right Near (Intersections Only)               ,Dark Street lights unknown,Serious injury accident                   ,100 km/hr                          ,145.02467,-37.48962,Arterial Other
T20140006526,30/03/2014,03.20.00,Struck Pedestrian                      ,Sunday,Any Manoeuvre Involving Ped Not Included In Dcas 100-108.  ,Dark Street lights on,Other injury accident                    ,60 km/hr                          ,145.04638,-37.71326,Local Road
T20140006527,30/03/2014,03.30.00,Collision with vehicle                   ,Sunday,Right Through                        ,Dark Street lights on,Other injury accident                    ,60 km/hr                          ,144.95599,-37.80588,Arterial Other
T20140006529,29/03/2014,13.40.00,Collision with vehicle                   ,Saturday,Rear End(Vehicles In Same Lane)               ,Day                             ,Other injury accident                    ,60 km/hr                          ,144.34529,-38.10097,Arterial Other
T20140006531,8/03/2014,10.30.00,No collision and no object struck              ,Saturday,Out Of Control On Carriageway (On Straight)         ,Day                             ,Other injury accident                    ,Camping grounds or off road,146.09427,-37.29789,Local Road
T20140006534,29/03/2014,12.00.00,Collision with vehicle                   ,Saturday,Rear End(Vehicles In Same Lane)               ,Day                             ,Other injury accident                    ,60 km/hr                          ,144.92827,-37.63057,Local Road
T20140006535,27/03/2014,16.05.00,Struck Pedestrian                      ,Thursday,Ped On Foothpath Struck By Vehentering/Leaving Driveway.  ,Day                             ,Serious injury accident                   ,50 km/hr                          ,145.12356,-37.72901,Local Road
T20140006538,30/03/2014,04.00.00,Collision with a fixed object                ,Sunday,Left Off Carriageway Into Object/Parked Vehicle       ,Dark No street lights,Serious injury accident                   ,100 km/hr                          ,144.71184,-37.35012,Local Road
T20140006543,30/03/2014,10.15.00,Collision with vehicle                   ,Sunday,Right Through                        ,Day                             ,Other injury accident                    ,60 km/hr                          ,145.13071,-37.75483,Arterial Other
T20140006545,30/03/2014,06.50.00,Collision with a fixed object                ,Sunday,Off End Of Road/T-Intersection.               ,Dusk/Dawn                          ,Other injury accident                    ,100 km/hr                          ,147.02986,-38.06513,Arterial Other
T20140006548,30/03/2014,11.50.00,Collision with vehicle                   ,Sunday,U Turn                           ,Day                             ,Other injury accident                    ,50 km/hr                          ,145.22497,-37.86853,Local Road
T20140006549,28/03/2014,11.30.00,Collision with vehicle                   ,Friday,Rear End(Vehicles In Same Lane)               ,Day                             ,Other injury accident                    ,50 km/hr                          ,145.40182,-36.38142,Arterial Highway
T20140006550,29/03/2014,15.00.00,Collision with a fixed object                ,Saturday,Off Left Bend Into Object/Parked Vehicle          ,Day                             ,Serious injury accident                   ,100 km/hr                          ,147.53944,-37.12792,Arterial Highway
T20140006554,30/03/2014,13.05.00,Collision with a fixed object                ,Sunday,Right Off Carriageway Into Object/Parked Vehicle      ,Day                             ,Serious injury accident                   ,100 km/hr                          ,145.45808,-37.53642,Arterial Other
T20140006555,30/03/2014,06.50.00,Collision with vehicle                   ,Sunday,Vehicle Collides With Vehicle Parked On Left Of Road    ,Dusk/Dawn                          ,Serious injury accident                   ,50 km/hr                          ,144.94669,-37.71503,Local Road
T20140006556,30/03/2014,00.15.00,Collision with a fixed object                ,Sunday,Off Right Bend Into Object/Parked Vehicle          ,Dark No street lights,Other injury accident                    ,100 km/hr                          ,146.88647,-36.89801,Local Road
T20140006559,29/03/2014,20.00.00,Collision with vehicle                   ,Saturday,Right Through                        ,Dusk/Dawn                          ,Other injury accident                    ,60 km/hr                          ,144.35049,-38.12432,Local Road
T20140006561,30/03/2014,13.45.00,Vehicle overturned (no collision)              ,Sunday,Off Carriageway On Right Bend                ,Day                             ,Serious injury accident                   ,100 km/hr                          ,145.86059,-37.557,Arterial Other
T20140006563,30/03/2014,12.00.00,Collision with vehicle                   ,Sunday,Rear End(Vehicles In Same Lane)               ,Day                             ,Other injury accident                    ,50 km/hr                          ,144.67167,-37.87639,Arterial Other
T20140006564,30/03/2014,09.50.00,Collision with vehicle                   ,Sunday,Right Through                        ,Day                             ,Other injury accident                    ,80 km/hr                          ,146.01873,-36.01336,Arterial Highway
T20140006565,30/03/2014,15.28.00,Collision with vehicle                   ,Sunday,Right Rear.                         ,Day                             ,Other injury accident                    ,50 km/hr                          ,144.8893,-37.85846,Local Road
T20140006566,30/03/2014,09.50.00,Collision with a fixed object                ,Sunday,Left Off Carriageway Into Object/Parked Vehicle       ,Day                             ,Serious injury accident                   ,100 km/hr                          ,142.06758,-37.71413,Local Road
T20140006567,30/03/2014,14.30.00,Collision with a fixed object                ,Sunday,Off Right Bend Into Object/Parked Vehicle          ,Day                             ,Serious injury accident                   ,100 km/hr                          ,145.66084,-38.1905,Arterial Other
T20140006568,30/03/2014,14.41.00,Collision with a fixed object                ,Sunday,Right Off Carriageway Into Object/Parked Vehicle      ,Day                             ,Serious injury accident                   ,50 km/hr                          ,145.21443,-37.9731,Local Road
T20140006570,30/03/2014,16.10.00,Collision with vehicle                   ,Sunday,Right Through                        ,Day                             ,Other injury accident                    ,50 km/hr                          ,145.32823,-37.77493,Local Road
T20140006573,30/03/2014,16.00.00,Collision with a fixed object                ,Sunday,Off Right Bend Into Object/Parked Vehicle          ,Day                             ,Serious injury accident                   ,80 km/hr                          ,143.4028,-38.71922,Arterial Highway
T20140006574,30/03/2014,17.10.00,Collision with vehicle                   ,Sunday,Right Far (Intersections Only)               ,Dusk/Dawn                          ,Other injury accident                    ,80 km/hr                          ,145.25533,-38.09461,Local Road
T20140006576,30/03/2014,18.00.00,Collision with vehicle                   ,Sunday,Rear End(Vehicles In Same Lane)               ,Dusk/Dawn                          ,Other injury accident                    ,60 km/hr                          ,144.94183,-37.78914,Arterial Other
T20140006577,29/03/2014,20.00.00,No collision and no object struck              ,Saturday,Out Of Control On Carriageway (On Straight)         ,Dusk/Dawn                          ,Other injury accident                    ,70 km/hr                          ,145.14815,-37.78751,Arterial Other
T20140006578,30/03/2014,20.20.00,Collision with vehicle                   ,Sunday,Right Near (Intersections Only)               ,Dusk/Dawn                          ,Serious injury accident                   ,60 km/hr                          ,144.68048,-37.89384,Arterial Other
T20140006579,30/03/2014,14.34.00,Collision with vehicle                   ,Sunday,Vehicle Collides With Vehicle Parked On Left Of Road    ,Day                             ,Other injury accident                    ,50 km/hr                          ,145.13014,-37.59191,Local Road
T20140006581,30/03/2014,21.30.00,Collision with vehicle                   ,Sunday,Rear End(Vehicles In Same Lane)               ,Dark Street lights on,Other injury accident                    ,60 km/hr                          ,144.92593,-37.69049,Local Road
T20140006582,30/03/2014,19.13.00,Collision with vehicle                   ,Sunday,Vehicle Collides With Vehicle Parked On Left Of Road    ,Dusk/Dawn                          ,Other injury accident                    ,40 km/hr                          ,144.99593,-37.79207,Local Road
T20140006583,30/03/2014,21.28.00,Collision with vehicle                   ,Sunday,Right Through                        ,Dark Street lights on,Other injury accident                    ,60 km/hr                          ,144.96839,-37.79226,Arterial Other
T20140006588,30/03/2014,22.45.00,Collision with vehicle                   ,Sunday,Rear End(Vehicles In Same Lane)               ,Dark Street lights on,Serious injury accident                   ,80 km/hr                          ,144.88826,-37.6999,Freeway
T20140006592,30/03/2014,00.30.00,Vehicle overturned (no collision)              ,Sunday,Out Of Control On Carriageway (On Straight)         ,Dark Street lights on,Serious injury accident                   ,60 km/hr                          ,144.76744,-37.87064,Arterial Other
T20140006595,31/03/2014,06.46.00,Collision with vehicle                   ,Monday,Right Through                        ,Dark Street lights on,Serious injury accident                   ,40 km/hr                          ,144.98651,-37.80405,Local Road
T20140006596,26/02/2014,17.40.00,Collision with vehicle                   ,Wednesday,Rear End(Vehicles In Same Lane)               ,Day                             ,Other injury accident                    ,80 km/hr                          ,144.94198,-37.59107,Arterial Other
T20140006598,31/03/2014,07.10.00,Collision with vehicle                   ,Monday,Right Far (Intersections Only)               ,Dusk/Dawn                          ,Other injury accident                    ,50 km/hr                          ,144.35735,-38.19733,Local Road
T20140006601,31/03/2014,08.40.00,Struck Pedestrian                      ,Monday,Ped Near Side. Ped Hit By Vehicle From The Right.      ,Day                             ,Other injury accident                    ,50 km/hr                          ,144.89778,-37.80195,Local Road
T20140006602,30/03/2014,18.40.00,Collision with vehicle                   ,Sunday,Off End Of Road/T-Intersection.               ,Dusk/Dawn                          ,Other injury accident                    ,50 km/hr                          ,145.20669,-37.93249,Local Road
T20140006604,30/03/2014,16.00.00,Collision with vehicle                   ,Sunday,Left Rear                          ,Day                             ,Other injury accident                    ,80 km/hr                          ,145.15592,-37.93246,Arterial Highway
T20140006605,30/03/2014,12.50.00,Collision with vehicle                   ,Sunday,Head On (Not Overtaking)                  ,Day                             ,Fatal accident                       ,100 km/hr                          ,142.73725,-37.04823,Arterial Highway
T20140006609,24/01/2014,09.30.00,Collision with vehicle                   ,Friday,Left Off Carriageway Into Object/Parked Vehicle       ,Day                             ,Other injury accident                    ,50 km/hr                          ,145.26294,-38.10174,Local Road
T20140006611,28/03/2014,14.50.00,Collision with vehicle                   ,Friday,Right Near (Intersections Only)               ,Day                             ,Other injury accident                    ,50 km/hr                          ,145.73044,-38.09404,Local Road
T20140006612,3/03/2014,21.00.00,Collision with vehicle                   ,Sunday,Cross Traffic(Intersections Only)              ,Dark Street lights on,Other injury accident                    ,60 km/hr                          ,144.9107,-37.59014,Local Road
T20140006613,10/02/2014,10.00.00,Collision with vehicle                   ,Monday,Right Far (Intersections Only)               ,Day                             ,Serious injury accident                   ,50 km/hr                          ,143.54889,-35.3469,Local Road
T20140006615,30/03/2014,14.00.00,Struck Pedestrian                      ,Sunday,Ped Playing/Lying/Working/Standing On Carriageway.,Day                             ,Serious injury accident                   ,80 km/hr                          ,146.41773,-37.9722,Arterial Other
T20140006617,31/03/2014,05.10.00,Vehicle overturned (no collision)              ,Monday,Off Carriageway To Right                  ,Dusk/Dawn                          ,Other injury accident                    ,100 km/hr                          ,141.12172,-36.88748,Local Road
T20140006618,19/01/2014,11.27.00,Collision with a fixed object                ,Sunday,Off Left Bend Into Object/Parked Vehicle          ,Day                             ,Other injury accident                    ,100 km/hr                          ,147.9815,-36.16367,Arterial Highway
T20140006620,16/03/2014,08.00.00,Collision with vehicle                   ,Sunday,Right Through                        ,Day                             ,Other injury accident                    ,50 km/hr                          ,143.84473,-37.5523,Local Road
T20140006623,30/03/2014,13.20.00,Collision with vehicle                   ,Sunday,Vehicle Strikes Door Of Parked/Stationary Vehicle      ,Day                             ,Other injury accident                    ,Not known                          ,144.99276,-37.85505,Local Road
T20140006625,31/03/2014,10.10.00,Collision with vehicle                   ,Monday,Cross Traffic(Intersections Only)              ,Day                             ,Other injury accident                    ,60 km/hr                          ,144.59754,-37.67599,Arterial Other
T20140006627,26/03/2014,16.30.00,Collision with vehicle                   ,Tuesday,Cross Traffic(Intersections Only)              ,Day                             ,Serious injury accident                   ,50 km/hr                          ,144.5307,-38.26767,Local Road
T20140006631,31/03/2014,08.30.00,Collision with vehicle                   ,Monday,Head On (Not Overtaking)                  ,Day                             ,Serious injury accident                   ,60 km/hr                          ,145.35964,-37.92553,Arterial Other
T20140006632,29/03/2014,18.15.00,Vehicle overturned (no collision)              ,Friday,Off Carriageway On Left Bend                ,Dusk/Dawn                          ,Serious injury accident                   ,80 km/hr                          ,145.17904,-38.06961,Local Road
T20140006633,31/03/2014,08.00.00,Collision with vehicle                   ,Monday,Lane Change Right (Not Overtaking)             ,Day                             ,Other injury accident                    ,80 km/hr                          ,145.14014,-37.91615,Arterial Highway
T20140006634,31/03/2014,11.14.00,Collision with vehicle                   ,Monday,Lane Change Right (Not Overtaking)             ,Day                             ,Serious injury accident                   ,70 km/hr                          ,144.31618,-38.1984,Arterial Highway
T20140006635,31/03/2014,08.20.00,Collision with vehicle                   ,Monday,Right Near (Intersections Only)               ,Day                             ,Fatal accident                       ,80 km/hr                          ,145.24783,-37.8732,Arterial Highway
T20140006638,31/03/2014,12.55.00,Collision with vehicle                   ,Monday,Rear End(Vehicles In Same Lane)               ,Day                             ,Other injury accident                    ,70 km/hr                          ,145.16451,-37.8868,Arterial Highway
T20140006639,29/03/2014,10.30.00,No collision and no object struck              ,Saturday,Out Of Control On Carriageway (On Straight)         ,Day                             ,Other injury accident                    ,80 km/hr                          ,143.86287,-38.50918,Local Road
T20140006640,31/03/2014,09.10.00,Collision with vehicle                   ,Monday,Left Turn Sideswipe                     ,Day                             ,Other injury accident                    ,60 km/hr                          ,144.99633,-37.8877,Local Road
T20140006641,28/03/2014,22.15.00,Collision with a fixed object                ,Friday,Right Off Carriageway Into Object/Parked Vehicle      ,Dark Street lights on,Serious injury accident                   ,50 km/hr                          ,145.19062,-37.97404,Local Road
T20140006643,31/03/2014,15.12.00,Collision with vehicle                   ,Monday,Right Through                        ,Day                             ,Other injury accident                    ,60 km/hr                          ,144.65232,-37.88898,Local Road
T20140006644,30/03/2014,19.00.00,Collision with vehicle                   ,Sunday,Vehicle Strikes Door Of Parked/Stationary Vehicle      ,Dusk/Dawn                          ,Other injury accident                    ,60 km/hr                          ,144.99351,-37.85085,Local Road
T20140006646,27/03/2014,08.29.00,Struck Pedestrian                      ,Thursday,Far Side. Ped Hit By Vehicle From The Left         ,Day                             ,Serious injury accident                   ,60 km/hr                          ,145.12688,-37.7873,Arterial Other
T20140006648,18/02/2014,13.40.00,Collision with vehicle                   ,Tuesday,Cross Traffic(Intersections Only)              ,Day                             ,Other injury accident                    ,110 km/hr                          ,145.09154,-37.11821,Freeway
T20140006652,31/03/2014,15.32.00,Collision with vehicle                   ,Monday,Rear End(Vehicles In Same Lane)               ,Day                             ,Other injury accident                    ,60 km/hr                          ,145.15851,-37.80697,Arterial Other
T20140006654,25/03/2014,13.10.00,Collision with vehicle                   ,Tuesday,Rear End(Vehicles In Same Lane)               ,Day                             ,Other injury accident                    ,60 km/hr                          ,145.00244,-37.85309,Arterial Other
T20140006656,31/03/2014,17.20.00,Collision with vehicle                   ,Monday,Cross Traffic(Intersections Only)              ,Dusk/Dawn                          ,Serious injury accident                   ,60 km/hr                          ,144.9852,-37.80656,Local Road
T20140006658,31/03/2014,10.00.00,No collision and no object struck              ,Monday,Out Of Control On Carriageway (On Straight)         ,Day                             ,Serious injury accident                   ,60 km/hr                          ,145.18626,-37.97149,Arterial Other
T20140006660,31/03/2014,14.22.00,Struck Pedestrian                      ,Monday,Far Side. Ped Hit By Vehicle From The Left         ,Day                             ,Serious injury accident                   ,60 km/hr                          ,144.98123,-37.86717,Arterial Other
T20140006661,31/03/2014,15.20.00,Collision with a fixed object                ,Monday,Off Right Bend Into Object/Parked Vehicle          ,Day                             ,Fatal accident                       ,100 km/hr                          ,146.26432,-36.62,Local Road
T20140006662,31/03/2014,17.10.00,Collision with vehicle                   ,Monday,Right Near (Intersections Only)               ,Dusk/Dawn                          ,Other injury accident                    ,80 km/hr                          ,145.14886,-37.97107,Local Road
T20140006663,18/02/2014,14.30.00,Collision with vehicle                   ,Tuesday,Rear End(Vehicles In Same Lane)               ,Day                             ,Serious injury accident                   ,40 km/hr                          ,144.27797,-36.77039,Arterial Other
T20140006665,31/03/2014,15.35.00,Collision with a fixed object                ,Monday,Off Right Bend Into Object/Parked Vehicle          ,Day                             ,Serious injury accident                   ,100 km/hr                          ,146.69009,-36.38394,Arterial Other
T20140006673,31/03/2014,17.40.00,Collision with vehicle                   ,Monday,Right Near (Intersections Only)               ,Dusk/Dawn                          ,Serious injury accident                   ,70 km/hr                          ,144.9989,-37.68129,Arterial Other
T20140006675,31/03/2014,15.40.00,Collision with vehicle                   ,Monday,Rear End(Vehicles In Same Lane)               ,Day                             ,Other injury accident                    ,60 km/hr                          ,142.16793,-34.21575,Local Road
T20140006676,29/03/2014,15.15.00,No collision and no object struck              ,Saturday,Out Of Control On Carriageway (On Straight)         ,Day                             ,Other injury accident                    ,50 km/hr                          ,144.96695,-37.73776,Arterial Other
T20140006677,31/03/2014,19.34.00,Collision with vehicle                   ,Monday,Cross Traffic(Intersections Only)              ,Dark No street lights,Serious injury accident                   ,80 km/hr                          ,144.34727,-38.22064,Local Road
T20140006678,31/03/2014,23.23.00,Collision with vehicle                   ,Monday,Vehicle Collides With Vehicle Parked On Left Of Road    ,Dark Street lights on,Other injury accident                    ,60 km/hr                          ,144.38301,-38.15594,Arterial Other
T20140006679,6/02/2014,03.13.00,Collision with a fixed object                ,Thursday,Right Off Carriageway Into Object/Parked Vehicle      ,Unk.                            ,Other injury accident                    ,60 km/hr                          ,145.2059,-37.81672,Arterial Highway
T20140006680,1/04/2014,00.10.00,Collision with a fixed object                ,Tuesday,Left Off Carriageway Into Object/Parked Vehicle       ,Dark Street lights on,Serious injury accident                   ,50 km/hr                          ,145.04248,-37.77327,Local Road
T20140006684,1/04/2014,03.18.00,Collision with vehicle                   ,Tuesday,Right Through                        ,Dark Street lights on,Serious injury accident                   ,80 km/hr                          ,145.27529,-37.99722,Freeway
T20140006685,31/03/2014,12.15.00,Collision with vehicle                   ,Monday,Right Through                        ,Day                             ,Serious injury accident                   ,80 km/hr                          ,145.30429,-37.82154,Arterial Other
T20140006689,31/03/2014,16.35.00,Collision with vehicle                   ,Monday,Right Near (Intersections Only)               ,Day                             ,Serious injury accident                   ,60 km/hr                          ,144.22866,-36.81651,Local Road
